Histone variant,Previous HGNC Symbol,Interactor gene,Interactor category,PDBID,BioGRID count,String count,IntAct count
canonical H4,HIST1H4A,MUS81,"TF,DNA repair",,1,0,0
canonical H4,HIST1H4A,FHL2,,,1,0,0
canonical H4,HIST1H4A,HIGD1A,,,1,0,0
canonical H4,HIST1H4A,CENPF,Replication associated,,1,0,0
canonical H4,HIST1H4A,RNF2,"PTM writers,TF,Transcription associated",4R8P,1,0,0
canonical H4,HIST1H4A,SF3B5,,,1,0,0
canonical H4,HIST1H4A,MFAP1,,,1,0,0
canonical H4,HIST1H4A,LSM4,,,1,0,0
canonical H4,HIST1H4A,MYL6,,,1,0,0
canonical H4,HIST1H4A,DDX46,,,1,0,0
canonical H4,HIST1H4A,SNRNP27,,,1,0,0
canonical H4,HIST1H4A,FAM207A,,,1,0,0
canonical H4,HIST1H4A,NOL8,Replication associated,,1,0,0
canonical H4,HIST1H4A,PRPF19,,,1,0,0
canonical H4,HIST1H4A,ACTG1,,,1,0,0
canonical H4,HIST1H4A,VAMP5,,,1,0,0
canonical H4,HIST1H4A,GNL3,,,1,0,0
canonical H4,HIST1H4A,PHF5A,TF,,1,0,0
canonical H4,HIST1H4A,RBM5,TF,,1,0,0
canonical H4,HIST1H4A,WDR75,,,1,0,0
canonical H4,HIST1H4A,CEBPB,TF,,1,0,0
canonical H4,HIST1H4A,NUP93,,,1,0,0
canonical H4,HIST1H4A,AATF,,,1,0,0
canonical H4,HIST1H4A,SAP130,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,RBM15,,,1,0,0
canonical H4,HIST1H4A,TOX4,,,1,0,0
canonical H4,HIST1H4A,NOP9,,,1,0,0
canonical H4,HIST1H4A,EXOSC6,,,1,0,0
canonical H4,HIST1H4A,TTF2,,,1,0,0
canonical H4,HIST1H4A,TAF5L,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,CDC27,PTM writers,,1,0,0
canonical H4,HIST1H4A,PELP1,PTM writers,,1,0,0
canonical H4,HIST1H4A,ATP5D,,,1,0,0
canonical H4,HIST1H4A,PHF21A,"PTM erasers,PTM readers,Chromatin remodelers,TF",,1,0,0
canonical H4,HIST1H4A,LDLR,,,1,0,0
canonical H4,HIST1H4A,CPSF4,,,1,0,0
canonical H4,HIST1H4A,MBD4,,,1,0,0
canonical H4,HIST1H4A,RBMX2,,,1,0,0
canonical H4,HIST1H4A,HNRNPF,,,1,0,0
canonical H4,HIST1H4A,RRP9,,,1,0,0
canonical H4,HIST1H4A,HSPA6,,,1,0,0
canonical H4,HIST1H4A,ZC3H18,,,1,0,0
canonical H4,HIST1H4A,RPL18A,,,1,0,0
canonical H4,HIST1H4A,FTSJ3,,,1,0,0
canonical H4,HIST1H4A,MPG,"DNA modificators,TF,DNA repair",,1,0,0
canonical H4,HIST1H4A,RING1,"PTM writers,TF,Transcription associated",,1,0,0
canonical H4,HIST1H4A,SRP14,,,1,0,0
canonical H4,HIST1H4A,ZNF326,TF,,1,0,0
canonical H4,HIST1H4A,EIF4G2,,,1,0,0
canonical H4,HIST1H4A,FOSL2,,,1,0,0
canonical H4,HIST1H4A,MYPOP,,,1,0,0
canonical H4,HIST1H4A,TADA2A,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,WDR3,,,1,0,0
canonical H4,HIST1H4A,HMGA1,"Histone chaperones,TF,Replication associated,HMG",,2,0,0
canonical H4,HIST1H4A,RPL23A,,,1,0,0
canonical H4,HIST1H4A,SPCS2,,,1,0,0
canonical H4,HIST1H4A,PC,,,1,0,0
canonical H4,HIST1H4A,CKAP4,,,1,0,0
canonical H4,HIST1H4A,TMEM214,,,1,0,0
canonical H4,HIST1H4A,TOP3A,"TF,Replication associated",,1,0,0
canonical H4,HIST1H4A,NPM3,Histone chaperones,,1,0,0
canonical H4,HIST1H4A,RPS10,,,1,0,0
canonical H4,HIST1H4A,RPL31,,,1,0,0
canonical H4,HIST1H4A,GAR1,,,1,0,0
canonical H4,HIST1H4A,NTHL1,,,1,0,0
canonical H4,HIST1H4A,POLR2I,"TF,Transcription associated",,1,0,0
canonical H4,HIST1H4A,CSTF2,,,1,0,0
canonical H4,HIST1H4A,FBXL6,,,1,0,0
canonical H4,HIST1H4A,RCC2,,,1,0,0
canonical H4,HIST1H4A,SAFB2,TF,,1,0,0
canonical H4,HIST1H4A,C17orf96,,,1,0,0
canonical H4,HIST1H4A,THRAP3,TF,,1,0,0
canonical H4,HIST1H4A,RSL1D1,,,1,0,0
canonical H4,HIST1H4A,PPP1CC,"PTM writers,PTM erasers",,1,0,0
canonical H4,HIST1H4A,SF3A2,,,1,0,0
canonical H4,HIST1H4A,SUMO3,,,1,0,0
canonical H4,HIST1H4A,IK,,,1,0,0
canonical H4,HIST1H4A,PHF3,PTM readers,,1,0,0
canonical H4,HIST1H4A,NXF1,,,1,0,0
canonical H4,HIST1H4A,FAM208A,,,1,0,0
canonical H4,HIST1H4A,CDC40,,,1,0,0
canonical H4,HIST1H4A,ILF3,TF,,1,0,0
canonical H4,HIST1H4A,MAGT1,,,1,0,0
canonical H4,HIST1H4A,PCBP1,,,1,0,0
canonical H4,HIST1H4A,TBL1XR1,TF,,1,0,0
canonical H4,HIST1H4A,MATR3,,,1,0,0
canonical H4,HIST1H4A,PRC1,,,1,0,0
canonical H4,HIST1H4A,SF3A3,,,1,0,0
canonical H4,HIST1H4A,ZNF318,,,1,0,0
canonical H4,HIST1H4A,SRSF3,,,1,0,0
canonical H4,HIST1H4A,LAS1L,,,1,0,0
canonical H4,HIST1H4A,MBD1,TF,,1,0,0
canonical H4,HIST1H4A,MAFG,,,1,0,0
canonical H4,HIST1H4A,TFAM,,,1,0,0
canonical H4,HIST1H4A,ITPR3,,,1,0,0
canonical H4,HIST1H4A,RPS8,,,1,0,0
canonical H4,HIST1H4A,FIP1L1,,,1,0,0
canonical H4,HIST1H4A,PPP1CA,PTM writers,,1,0,0
canonical H4,HIST1H4A,FLYWCH1,,,1,0,0
canonical H4,HIST1H4A,RPL23,,,1,0,0
canonical H4,HIST1H4A,NUP62,,,1,0,0
canonical H4,HIST1H4A,NDUFS8,,,1,0,0
canonical H4,HIST1H4A,SUN2,,,1,0,0
canonical H4,HIST1H4A,POLR1E,TF,,1,0,0
canonical H4,HIST1H4A,HMGN1,"TF,HMG",,1,0,0
canonical H4,HIST1H4A,RPL38,,,1,0,0
canonical H4,HIST1H4A,RAVER1,,,1,0,0
canonical H4,HIST1H4A,ZNF512B,TF,,1,0,0
canonical H4,HIST1H4A,PKP3,,,1,0,0
canonical H4,HIST1H4A,WDR43,,,1,0,0
canonical H4,HIST1H4A,SYF2,,,1,0,0
canonical H4,HIST1H4A,UTP18,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",RPS3A,,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,PRPF4,,,1,0,0
canonical H4,HIST1H4A,C12orf43,,,1,0,0
canonical H4,HIST1H4A,SRSF5,,,1,0,0
canonical H4,HIST1H4A,PPIH,,,1,0,0
canonical H4,HIST1H4A,PAF1,TF,,1,0,0
canonical H4,HIST1H4A,RNPS1,,,1,0,0
canonical H4,HIST1H4A,NONO,"TF,DNA repair",,1,0,0
canonical H4,HIST1H4A,SNRPD1,,,1,0,0
canonical H4,HIST1H4A,ZC3H11A,,,1,0,0
canonical H4,HIST1H4A,GOSR1,,,1,0,0
canonical H4,HIST1H4A,ENY2,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,EXOSC3,,,1,0,0
canonical H4,HIST1H4A,RPS4X,,,1,0,0
canonical H4,HIST1H4A,THOC2,,,1,0,0
canonical H4,HIST1H4A,PNN,,,1,0,0
canonical H4,HIST1H4A,COIL,,,1,0,0
canonical H4,HIST1H4A,SNRNP200,,,1,0,0
canonical H4,HIST1H4A,RBM39,,,1,0,0
canonical H4,HIST1H4A,HCFC2,,,1,0,0
canonical H4,HIST1H4A,WTAP,,,1,0,0
canonical H4,HIST1H4A,RBM3,,,1,0,0
canonical H4,HIST1H4A,SF3B3,,,1,0,0
canonical H4,HIST1H4A,CXXC5,,,1,0,0
canonical H4,HIST1H4A,AHCTF1,TF,,1,0,0
canonical H4,HIST1H4A,DDX21,,,1,0,0
canonical H4,HIST1H4A,HMGN2,"TF,HMG",,2,0,0
canonical H4,HIST1H4A,CIRH1A,,,1,0,0
canonical H4,HIST1H4A,DDX17,,,1,0,0
canonical H4,HIST1H4A,EXO1,"TF,DNA repair",,1,0,0
canonical H4,HIST1H4A,RMI1,,,1,0,0
canonical H4,HIST1H4A,SPATA5L1,,,1,0,0
canonical H4,HIST1H4A,DHX8,,,1,0,0
canonical H4,HIST1H4A,DLGAP5,,,1,0,0
canonical H4,HIST1H4A,RPS25,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",RAN,TF,,"2,0","0,0","0,1"
canonical H4,HIST1H4A,ELOVL1,,,1,0,0
canonical H4,HIST1H4A,REST,TF,,1,0,0
canonical H4,HIST1H4A,NGDN,,,1,0,0
canonical H4,HIST1H4A,FAM60A,,,1,0,0
canonical H4,HIST1H4A,RPL18,,,1,0,0
canonical H4,HIST1H4A,MAFK,,,1,0,0
canonical H4,HIST1H4A,DIDO1,PTM readers,,1,0,0
canonical H4,HIST1H4A,CDC73,TF,,1,0,0
canonical H4,HIST1H4A,NOL11,,,1,0,0
canonical H4,HIST1H4A,SPATA5,,,1,0,0
canonical H4,HIST1H4A,DDX50,,,1,0,0
canonical H4,HIST1H4A,TMA16,,,1,0,0
canonical H4,HIST1H4A,WDR18,,,1,0,0
canonical H4,HIST1H4A,SRSF2,,,1,0,0
canonical H4,HIST1H4A,CXorf56,,,1,0,0
canonical H4,HIST1H4A,NAPSA,,,1,0,0
canonical H4,HIST1H4A,CLASRP,,,1,0,0
canonical H4,"HIST1H4A,HIST2H4A",TAF15,TF,,"1,1","0,0","0,0"
canonical H4,HIST1H4A,CMAS,,,1,0,0
canonical H4,HIST1H4A,TMEM237,,,1,0,0
canonical H4,HIST1H4A,SNRPF,,,1,0,0
canonical H4,HIST1H4A,LSM2,,,1,0,0
canonical H4,HIST1H4A,NOP10,,,1,0,0
canonical H4,HIST1H4A,SUMO1,DNA repair,,1,0,0
canonical H4,HIST1H4A,SRSF10,,,1,0,0
canonical H4,HIST1H4A,CEBPZ,TF,,1,0,0
canonical H4,HIST1H4A,INIP,,,1,0,0
canonical H4,HIST1H4A,SURF6,,,1,0,0
canonical H4,HIST1H4A,TUBB8,,,1,0,0
canonical H4,HIST1H4A,YAF2,,,1,0,0
canonical H4,HIST1H4A,SPEN,,,1,0,0
canonical H4,HIST1H4A,RPL7A,,,1,0,0
canonical H4,HIST1H4A,HP1BP3,"Histone chaperones,TF",,1,0,0
canonical H4,HIST1H4A,KNOP1,,,1,0,0
canonical H4,HIST1H4A,ACTL6A,"PTM writers,Chromatin remodelers",6LTJ,1,0,0
canonical H4,HIST1H4A,DDX18,,,1,0,0
canonical H4,HIST1H4A,SFPQ,"TF,DNA repair",,1,0,0
canonical H4,HIST1H4A,SEH1L,,,1,0,0
canonical H4,HIST1H4A,KHDRBS1,TF,,1,0,0
canonical H4,HIST1H4A,KPNA2,,,1,0,0
canonical H4,HIST1H4A,EMD,,,1,0,0
canonical H4,HIST1H4A,RPL10,,,1,0,0
canonical H4,HIST1H4A,HNRNPM,,,1,0,0
canonical H4,HIST1H4A,CDC5L,,,1,0,0
canonical H4,HIST1H4A,FMR1,,,1,0,0
canonical H4,HIST1H4A,NUP214,,,1,0,0
canonical H4,HIST1H4A,DDX51,,,1,0,0
canonical H4,HIST1H4A,THOC6,,,1,0,0
canonical H4,HIST1H4A,JRKL,,,1,0,0
canonical H4,HIST1H4A,FBXO28,,,1,0,0
canonical H4,HIST1H4A,RBM27,,,1,0,0
canonical H4,HIST1H4A,NCL,"Histone chaperones,TF",,1,0,0
canonical H4,HIST1H4A,NKRF,,,1,0,0
canonical H4,HIST1H4A,NFE2L2,TF,,1,0,0
canonical H4,HIST1H4A,ESCO1,"TF,DNA repair",,1,0,0
canonical H4,HIST1H4A,ILF2,TF,,1,0,0
canonical H4,HIST1H4A,ILVBL,,,1,0,0
canonical H4,HIST1H4A,HNRNPU,TF,,1,0,0
canonical H4,HIST1H4A,RGPD3,,,1,0,0
canonical H4,HIST1H4A,FOSL1,,,1,0,0
canonical H4,HIST1H4A,TIGD5,,,1,0,0
canonical H4,HIST1H4A,BCAS2,,,1,0,0
canonical H4,HIST1H4A,HNRNPH3,,,1,0,0
canonical H4,HIST1H4A,NUP188,,,1,0,0
canonical H4,HIST1H4A,ZFC3H1,,,1,0,0
canonical H4,HIST1H4A,RPL32,,,1,0,0
canonical H4,HIST1H4A,THOC5,,,1,0,0
canonical H4,HIST1H4A,SNRPC,,,1,0,0
canonical H4,HIST1H4A,ZC3H8,TF,,1,0,0
canonical H4,HIST1H4A,PPHLN1,,,1,0,0
canonical H4,HIST1H4A,RPL8,,,1,0,0
canonical H4,HIST1H4A,CCNB2,,,1,0,0
canonical H4,HIST1H4A,GTPBP4,,,1,0,0
canonical H4,HIST1H4A,NCBP2,,,1,0,0
canonical H4,HIST1H4A,WDR36,,,1,0,0
canonical H4,HIST1H4A,TAF10,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,HNRNPL,,,1,0,0
canonical H4,HIST1H4A,RPL14,,,1,0,0
canonical H4,HIST1H4A,BAG2,,,1,0,0
canonical H4,HIST1H4A,POLR2D,Transcription associated,,1,0,0
canonical H4,HIST1H4A,ZNF740,,,1,0,0
canonical H4,HIST1H4A,BLM,"TF,Replication associated,DNA repair",,1,0,0
canonical H4,HIST1H4A,NHP2,,,1,0,0
canonical H4,HIST1H4A,NHP2L1,,,1,0,0
canonical H4,HIST1H4A,SNRNP70,,,1,0,0
canonical H4,HIST1H4A,RPS2,,,1,0,0
canonical H4,HIST1H4A,RSL24D1,,,1,0,0
canonical H4,HIST1H4A,THOC1,,,1,0,0
canonical H4,HIST1H4A,EBNA1BP2,,,1,0,0
canonical H4,HIST1H4A,DHX33,,,1,0,0
canonical H4,HIST1H4A,RPS23,,,1,0,0
canonical H4,HIST1H4A,SKIV2L2,,,1,0,0
canonical H4,HIST1H4A,UBP1,TF,,1,0,0
canonical H4,HIST1H4A,RPS17,,,1,0,0
canonical H4,HIST1H4A,DDX3X,TF,,1,0,0
canonical H4,HIST1H4A,MTDH,,,1,0,0
canonical H4,HIST1H4A,TRIM27,,,1,0,0
canonical H4,HIST1H4A,TBL2,,,1,0,0
canonical H4,HIST1H4A,RPP38,,,1,0,0
canonical H4,HIST1H4A,HSPA9,,,1,0,0
canonical H4,HIST1H4A,RBM14,,,1,0,0
canonical H4,HIST1H4A,TUBA1A,,,1,0,0
canonical H4,HIST1H4A,NOL7,,,1,0,0
canonical H4,HIST1H4A,ESYT2,,,1,0,0
canonical H4,HIST1H4A,MEN1,"PTM writers,TF,DNA repair",,1,0,0
canonical H4,HIST1H4A,LBR,TF,,1,0,0
canonical H4,HIST1H4A,CCDC12,,,1,0,0
canonical H4,HIST1H4A,KPNB1,,,1,0,0
canonical H4,HIST1H4A,PPIG,,,1,0,0
canonical H4,HIST1H4A,RBM28,,,1,0,0
canonical H4,HIST1H4A,RAE1,,,1,0,0
canonical H4,HIST1H4A,EXOSC1,,,1,0,0
canonical H4,HIST1H4A,SNRPA1,,,1,0,0
canonical H4,HIST1H4A,ZCCHC7,,,1,0,0
canonical H4,HIST1H4A,SS18L2,,,1,0,0
canonical H4,HIST1H4A,RPL28,,,1,0,0
canonical H4,HIST1H4A,THOC3,,,1,0,0
canonical H4,HIST1H4A,RPL36,,,1,0,0
canonical H4,HIST1H4A,ZNF638,,,1,0,0
canonical H4,HIST1H4A,CDCA2,,,1,0,0
canonical H4,HIST1H4A,TEAD3,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",RRP1B,,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,TMEM41B,,,1,0,0
canonical H4,HIST1H4A,KIF23,,,1,0,0
canonical H4,HIST1H4A,EXOSC4,,,1,0,0
canonical H4,HIST1H4A,NIP7,,,1,0,0
canonical H4,HIST1H4A,ZC3HAV1,,,1,0,0
canonical H4,HIST1H4A,RPL11,,,1,0,0
canonical H4,HIST1H4A,IWS1,,,1,0,0
canonical H4,HIST1H4A,RPL6,,,1,0,0
canonical H4,HIST1H4A,TCERG1,,,1,0,0
canonical H4,HIST1H4A,RPL10A,,,1,0,0
canonical H4,HIST1H4A,DHX15,,,1,0,0
canonical H4,HIST1H4A,USP36,,,1,0,0
canonical H4,HIST1H4A,SEC22B,,,1,0,0
canonical H4,HIST1H4A,PPP1R10,,,1,0,0
canonical H4,HIST1H4A,ACTA1,,,1,0,0
canonical H4,HIST1H4A,SRBD1,,,1,0,0
canonical H4,HIST1H4A,HMGN4,"TF,HMG",,1,0,0
canonical H4,HIST1H4A,RPL4,,,1,0,0
canonical H4,HIST1H4A,TPX2,,,1,0,0
canonical H4,HIST1H4A,RPL12,,,1,0,0
canonical H4,HIST1H4A,RPL5,,,1,0,0
canonical H4,HIST1H4A,BBX,TF,,1,0,0
canonical H4,HIST1H4A,RPL13A,,,1,0,0
canonical H4,HIST1H4A,MKI67,,,1,0,0
canonical H4,HIST1H4A,HSPD1,TF,,1,0,0
canonical H4,HIST1H4A,NIFK,,,1,0,0
canonical H4,HIST1H4A,EWSR1,TF,,1,0,0
canonical H4,HIST1H4A,RPL13,,,1,0,0
canonical H4,HIST1H4A,POLR2E,"TF,Transcription associated",,1,0,0
canonical H4,HIST1H4A,NUP88,,,1,0,0
canonical H4,HIST1H4A,EIF6,,,1,0,0
canonical H4,HIST1H4A,FRG1,,,1,0,0
canonical H4,HIST1H4A,RECQL5,DNA repair,,1,0,0
canonical H4,HIST1H4A,ZC3H13,,,1,0,0
canonical H4,HIST1H4A,POLR2B,"TF,Transcription associated",,1,0,0
canonical H4,HIST1H4A,POLB,"TF,Replication associated,DNA repair",,1,0,0
canonical H4,HIST1H4A,NOC2L,,,1,0,0
canonical H4,HIST1H4A,SNRPD2,,,1,0,0
canonical H4,HIST1H4A,ANXA2,,,1,0,0
canonical H4,HIST1H4A,RPL27A,,,1,0,0
canonical H4,HIST1H4A,RPL3,,,1,0,0
canonical H4,HIST1H4A,NOL9,,,1,0,0
canonical H4,HIST1H4A,HDGFRP2,,,1,0,0
canonical H4,HIST1H4A,DDX5,TF,,1,0,0
canonical H4,HIST1H4A,YLPM1,,,1,0,0
canonical H4,HIST1H4A,SAMD4A,,,1,0,0
canonical H4,HIST1H4A,FUS,TF,,1,0,0
canonical H4,HIST1H4A,TBL3,,,1,0,0
canonical H4,HIST1H4A,PAX6,TF,,1,0,0
canonical H4,HIST1H4A,MGA,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,MECOM,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,BANP,TF,,1,0,0
canonical H4,HIST1H4A,HCFC1,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,ZFP64,,,1,0,0
canonical H4,HIST1H4A,KLF4,,,1,0,0
canonical H4,HIST1H4A,FADS1,,,1,0,0
canonical H4,HIST1H4A,ATAD3A,,,1,0,0
canonical H4,HIST1H4A,TINF2,TF,,1,0,0
canonical H4,HIST1H4A,MAZ,,,1,0,0
canonical H4,HIST1H4A,MAX,"PTM writers,TF",,1,0,0
canonical H4,HIST1H4A,BCORL1,,,1,0,0
canonical H4,HIST1H4A,MXI1,,,1,0,0
canonical H4,HIST1H4A,TMPO,TF,,1,0,0
canonical H4,HIST1H4A,NUSAP1,TF,,1,0,0
canonical H4,HIST1H4A,TOP2B,"PTM readers,Chromatin remodelers,TF",,1,0,0
canonical H4,HIST1H4A,HMGN3,"TF,HMG",,1,0,0
canonical H4,HIST1H4A,NOP2,,,1,0,0
canonical H4,HIST1H4A,NOLC1,,,1,0,0
canonical H4,HIST1H4A,TCOF1,,,1,0,0
canonical H4,HIST1H4A,HELLS,"DNA modificators,TF",,1,0,0
canonical H4,HIST1H4A,XRCC1,"TF,DNA repair",,1,0,0
canonical H4,HIST1H4A,APTX,,,1,0,0
canonical H4,HIST1H4A,UBTF,TF,,1,0,0
canonical H4,HIST1H4A,BCLAF1,TF,,1,0,0
canonical H4,HIST1H4A,TOR1AIP1,,,1,0,0
canonical H4,HIST1H4A,BARD1,"PTM writers,TF,DNA repair",7JZV,1,0,0
canonical H4,HIST1H4A,RAD18,"TF,Replication associated,DNA repair",,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",NEB,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",EMX2,TF,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,C11orf70,,,1,0,0
canonical H4,HIST1H4A,HIST2H2BC,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",HSPA7,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",IGSF3,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",SVIL,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",VWF,,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,PTPRF,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",SYDE2,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",LARP1B,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",DTX2,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",UTP15,,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,JPH2,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",TBCD,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",SUCO,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",SHANK1,,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,LOC102724334,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",COL23A1,,,"1,0","0,0","0,1"
canonical H4,HIST1H4G,AGTRAP,,,2,0,2
canonical H4,HIST1H4I,RAD51B,"TF,DNA repair",,0,0,1
canonical H4,HIST1H4I,MAP3K1,,,0,0,1
canonical H4,HIST1H4I,MAP3K3,,,0,0,1
canonical H4,HIST1H4I,MAP3K7,,,0,0,1
canonical H4,HIST1H4I,TNFRSF1A,,,0,0,1
canonical H4,HIST1H4I,PHF20L1,,,0,0,1
canonical H4,HIST1H4I,KMT5A,"PTM writers,TF",7D1Z,0,0,9
canonical H4,HIST1H4I,KMT5A,"PTM writers,TF",5HQ2,0,0,9
canonical H4,HIST1H4I,KMT5A,"PTM writers,TF",7D20,0,0,9
canonical H4,HIST1H4I,RB1,"Chromatin remodelers,TF",,0,0,1
canonical H4,HIST1H4I,TWIST1,,,0,0,3
canonical H4,HIST1H4I,PSME4,PTM writers,,0,0,1
canonical H4,HIST1H4I,TLE1,,,0,0,2
canonical H4,HIST1H4I,SIAH1,,,0,0,3
canonical H4,HIST1H4I,H3C12,,,0,0,1
canonical H4,HIST1H4I,ACTN2,TF,,0,0,3
canonical H4,HIST1H4I,H3-4,,,0,0,2
canonical H4,HIST1H4I,H3C15,,,0,0,1
canonical H4,HIST1H4I,KIF3A,,,0,0,1
canonical H4,HIST1H4I,PPIL4,,,0,0,1
canonical H4,HIST1H4I,USF3,,,0,0,1
canonical H4,HIST1H4I,DENND3,,,0,0,1
canonical H4,HIST1H4I,CFAP300,,,0,0,1
canonical H4,HIST1H4I,PRKCA,PTM writers,,0,0,3
canonical H4,HIST1H4I,LMO3,,,0,0,3
canonical H4,HIST1H4I,HTT,TF,,0,0,3
canonical H4,HIST1H4G,TMED8,,,0,0,3
canonical H4,HIST1H4G,MAIP1,,,0,0,3
canonical H4,HIST1H4G,FGF14,,,0,0,1
canonical H4,HIST1H4G,RHBDD2,,,0,0,1
H1.1,HIST1H1A,ZNF70,,,2,2,2
H1.1,HIST1H1A,ZC3HAV1,,,2,2,2
H1.1,HIST1H1A,RPS3A,,,1,1,0
H1.1,HIST1H1A,SF3B2,,,1,1,0
H1.1,HIST1H1A,EED,"PTM writers,PTM readers,TF,Transcription associated",,1,1,0
H1.1,HIST1H1A,RSL1D1,,,1,1,0
H1.1,HIST1H1A,CABIN1,Histone chaperones,,1,1,1
H1.1,HIST1H1A,RPF2,,,2,2,2
H1.1,HIST1H1A,KRI1,,,1,1,0
H1.1,HIST1H1A,ZC3H8,TF,,2,2,2
H1.1,HIST1H1A,NHP2,,,1,1,0
H1.1,HIST1H1A,GTPBP4,,,2,2,2
H1.1,HIST1H1A,HIST3H3,,,1,1,0
H1.1,HIST1H1A,GNL2,,,2,2,2
H1.1,HIST1H1A,SURF6,,,2,2,2
H1.1,HIST1H1A,NOL12,,,2,2,2
H1.1,HIST1H1A,BDNF,,,0,1,1
H1.1,HIST1H1A,DDX24,,,2,2,2
H1.1,HIST1H1A,ZCRB1,,,1,1,0
H1.1,HIST1H1A,RBM19,,,2,2,2
H1.1,HIST1H1A,PRDM15,TF,,2,2,2
H1.1,HIST1H1A,ZNF574,TF,,2,2,2
H1.1,HIST1H1A,ZNF48,,,2,2,2
H1.1,HIST1H1A,ADPRH,,,0,1,1
H1.1,HIST1H1A,EZH2,"PTM writers,TF,Transcription associated",,1,1,0
H1.1,HIST1H1A,LIN28B,,,1,1,0
H1.1,HIST1H1A,UTP23,,,2,2,2
H1.1,HIST1H1A,ZNF189,TF,,2,2,2
H1.1,HIST1H1A,RPS5,,,2,2,2
H1.1,HIST1H1A,CTCFL,"DNA modificators,TF",,2,0,0
H1.1,HIST1H1A,DEK,"Chromatin remodelers,Histone chaperones,TF",,1,0,0
H1.1,HIST1H1A,SUZ12,"PTM writers,TF,Transcription associated",,1,0,0
H1.1,HIST1H1A,RBBP4,"PTM writers,PTM erasers,PTM readers,Chromatin remodelers,Histone chaperones,Transcription associated,Replication associated",,1,0,0
H1.1,HIST1H1A,AEBP2,"PTM writers,TF,Transcription associated",,1,0,0
H1.1,HIST1H1A,LOX,,,1,0,0
H1.1,HIST1H1A,WHSC1L1,PTM writers,,1,0,0
H1.1,HIST1H1A,CTR9,TF,,2,0,0
H1.1,HIST1H1A,LEO1,TF,,2,0,0
H1.1,HIST1H1A,PAF1,TF,,2,0,0
H1.1,HIST1H1A,CDC73,TF,,2,0,0
H1.1,HIST1H1A,WDR61,,,1,0,0
H1.1,HIST1H1A,CUL4A,"PTM writers,DNA repair",,2,0,0
H1.1,HIST1H1A,DDB1,"PTM writers,TF,DNA repair",,2,0,0
H1.1,HIST1H1A,RBX1,"PTM writers,DNA repair",,1,0,0
H1.1,HIST1H1A,WDR5,"PTM writers,PTM readers,TF",,2,0,0
H1.1,HIST1H1A,VPRBP,,,2,0,0
H1.1,HIST1H1A,LARP7,,,2,0,2
H1.1,HIST1H1A,YBX2,TF,,2,0,2
H1.1,HIST1H1A,KNOP1,,,1,0,0
H1.1,HIST1H1A,SF3B1,Chromatin remodelers,,1,0,0
H1.1,HIST1H1A,POP1,,,1,0,0
H1.1,HIST1H1A,FTSJ3,,,1,0,0
H1.1,HIST1H1A,RPS3,TF,,2,0,2
H1.1,HIST1H1A,ZNF668,,,2,0,2
H1.1,HIST1H1A,RRP12,,,2,0,2
H1.1,HIST1H1A,METTL17,,,1,0,0
H1.1,HIST1H1A,RPL10A,,,1,0,0
H1.1,HIST1H1A,DKC1,Replication associated,,1,0,0
H1.1,HIST1H1A,UPF1,"TF,Replication associated,DNA repair",,2,0,2
H1.1,HIST1H1A,STAU2,,,2,0,2
H1.1,HIST1H1A,STAU1,,,2,0,2
H1.1,HIST1H1A,PABPC4,,,1,0,0
H1.1,HIST1H1A,DHX30,,,2,0,2
H1.1,HIST1H1A,ELAVL2,,,2,0,2
